# Observed data-set 0:
-0.500000	13.985029
-0.498999	14.000156
-0.497998	13.963354
-0.496997	13.980841
-0.495996	13.987114
-0.494995	14.023870
-0.493994	14.021657
-0.492993	14.004342
-0.491992	13.985220
-0.490991	14.021074
-0.489990	14.019857
-0.488989	14.002149
-0.487988	14.026906
-0.486987	14.023782
-0.485986	14.058436
-0.484985	13.999868
-0.483984	14.013329
-0.482983	14.003861
-0.481982	14.006814
-0.480981	14.026445
-0.479980	13.996512
-0.478979	14.019054
-0.477978	14.003421
-0.476977	13.969086
-0.475976	14.002720
-0.474975	14.011008
-0.473974	14.019028
-0.472973	14.002548
-0.471972	14.023686
-0.470971	14.025770
-0.469970	14.023032
-0.468969	13.996862
-0.467968	13.987361
-0.466967	13.977771
-0.465966	14.030749
-0.464965	13.978251
-0.463964	14.048456
-0.462963	13.967883
-0.461962	14.030731
-0.460961	13.973622
-0.459960	13.952723
-0.458959	14.004572
-0.457958	14.007219
-0.456957	14.001273
-0.455956	14.008291
-0.454955	13.990256
-0.453954	13.985501
-0.452953	13.992368
-0.451952	13.998732
-0.450951	13.935017
-0.449950	13.964060
-0.448949	13.990989
-0.447948	13.974228
-0.446947	14.003311
-0.445946	13.979232
-0.444945	14.059588
-0.443944	13.984583
-0.442943	13.941224
-0.441942	13.977659
-0.440941	13.936020
-0.439940	13.985305
-0.438939	13.988651
-0.437938	13.985740
-0.436937	13.974362
-0.435936	13.990418
-0.434935	14.009876
-0.433934	13.913222
-0.432933	13.952280
-0.431932	13.978949
-0.430931	13.939205
-0.429930	13.956110
-0.428929	13.935770
-0.427928	14.002796
-0.426927	13.976389
-0.425926	13.972815
-0.424925	13.951181
-0.423924	13.959790
-0.422923	13.929507
-0.421922	13.970530
-0.420921	13.958223
-0.419920	13.950039
-0.418919	13.949388
-0.417918	13.965935
-0.416917	13.920269
-0.415916	13.901604
-0.414915	13.892405
-0.413914	13.935482
-0.412913	13.895173
-0.411912	13.986293
-0.410911	13.958199
-0.409910	13.943381
-0.408909	13.933839
-0.407908	13.942212
-0.406907	13.976942
-0.405906	13.905157
-0.404905	13.917610
-0.403904	13.915323
-0.402903	13.978124
-0.401902	13.933899
-0.400901	13.902407
-0.399900	13.939797
-0.398899	13.925689
-0.397898	13.868503
-0.396897	13.934294
-0.395896	13.913567
-0.394895	13.932863
-0.393894	13.926367
-0.392893	13.893454
-0.391892	13.954663
-0.390891	13.925925
-0.389890	13.883982
-0.388889	13.868512
-0.387888	13.877788
-0.386887	13.949920
-0.385886	13.909725
-0.384885	13.870728
-0.383884	13.916545
-0.382883	13.888713
-0.381882	13.894441
-0.380881	13.869468
-0.379880	13.880775
-0.378879	13.851283
-0.377878	13.882596
-0.376877	13.866087
-0.375876	13.914267
-0.374875	13.908672
-0.373874	13.888880
-0.372873	13.870566
-0.371872	13.860627
-0.370871	13.889790
-0.369870	13.877637
-0.368869	13.914526
-0.367868	13.850265
-0.366867	13.893595
-0.365866	13.886691
-0.364865	13.877298
-0.363864	13.878913
-0.362863	13.825113
-0.361862	13.870026
-0.360861	13.864016
-0.359860	13.890515
-0.358859	13.877601
-0.357858	13.903425
-0.356857	13.856715
-0.355856	13.841597
-0.354855	13.829011
-0.353854	13.857316
-0.352853	13.861781
-0.351852	13.908271
-0.350851	13.877256
-0.349850	13.875400
-0.348849	13.851998
-0.347848	13.856831
-0.346847	13.872270
-0.345846	13.861197
-0.344845	13.861687
-0.343844	13.850405
-0.342843	13.861897
-0.341842	13.869680
-0.340841	13.923685
-0.339840	13.844210
-0.338839	13.870587
-0.337838	13.860478
-0.336837	13.849709
-0.335836	13.879808
-0.334835	13.858539
-0.333834	13.883035
-0.332833	13.844021
-0.331832	13.863941
-0.330831	13.847076
-0.329830	13.793717
-0.328829	13.859754
-0.327828	13.869745
-0.326827	13.863732
-0.325826	13.826800
-0.324825	13.925162
-0.323824	13.893673
-0.322823	13.868752
-0.321822	13.871859
-0.320821	13.830387
-0.319820	13.847113
-0.318819	13.847618
-0.317818	13.829414
-0.316817	13.853886
-0.315816	13.863364
-0.314815	13.866772
-0.313814	13.868867
-0.312813	13.826293
-0.311812	13.826446
-0.310811	13.841107
-0.309810	13.870887
-0.308809	13.838624
-0.307808	13.850130
-0.306807	13.832653
-0.305806	13.841775
-0.304805	13.867195
-0.303804	13.837084
